title,location,price,price_value,url,date_posted,category,square_meters,price_per_sqm,search_phrase,scraped_date
No Title,"Wrocław, Fabryczna",9 000 zł,9000.0,https://www.otomoto.pl/osobowe/oferta/bmw-seria-3-bmw-3-kombi-320i-170-koni-ID6Hn1Bp.html,Dzisiaj o 15:38,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Zamość,645 750 złdo negocjacji,645750.0,https://www.otomoto.pl/maszyny-rolnicze/oferta/john-deere-8310r-john-deere-8310r-ID6Hn1Vb.html,Dzisiaj o 15:26,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Zabrze,25 zł,25.0,https://www.olx.pl/d/oferta/zarys-chemii-fizjologicznej-harper-pzwl-CID751-ID15IgGT.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:43,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Szerokie,25 zł,25.0,https://www.olx.pl/d/oferta/dziecieca-neoprenowa-pianka-twf-rozmiar-10-CID767-ID15IgAq.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:41,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Olsztyn,88 złdo negocjacji,88.0,https://www.olx.pl/d/oferta/z-kura-na-glowie-obraz-olejny-CID4042-ID15IgPY.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:45,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Polanica-Zdrój,8 zł,8.0,https://www.olx.pl/d/oferta/krotkie-spodenki-boys-rozm-140-CID88-ID15IgPK.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:45,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Konstancin-Jeziorna,15 zł,15.0,https://www.olx.pl/d/oferta/marek-krajewski-zestaw-2-ksiazek-mock-CID751-ID15IgHC.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:43,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Wysokie Mazowieckie,30 zł,30.0,https://www.olx.pl/d/oferta/dreamfall-gra-pc-superseller-CID99-ID15IgH9.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:42,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Pszenno,20 zł,20.0,https://www.olx.pl/d/oferta/intel-core-i3-4170-CID99-ID15IgU3.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:46,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Zduny,150 złdo negocjacji,150.0,https://www.olx.pl/d/oferta/drabinka-do-basenu-CID628-ID15IgxL.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:40,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Bełchatów,150 zł,150.0,https://www.olx.pl/d/oferta/auto-na-akumulator-CID88-ID15IgCR.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:42,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Pępowo,715 000 zł,715000.0,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-w-centrum-pepowa-ID4vgOc.html,Dzisiaj o 15:39,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Leźno,6 zł,6.0,https://www.olx.pl/d/oferta/sadzonki-rozsady-pomidora-CID628-ID15IfMB.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:27,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Gawłuszowice,34 900 złdo negocjacji,34900.0,https://www.olx.pl/d/oferta/sprzedam-lodz-maxum-2100-CID767-ID15IfGA.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:25,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,"Poznań, Naramowice",220 zł,220.0,https://www.olx.pl/d/oferta/tp-link-demo-m4r-CID99-ID15Igvr.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:40,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Września,"69,99 zł",69.99,https://www.olx.pl/d/oferta/plecak-damska-czarna-wodoodporna-saszetka-miejska-mala-torba-na-ramie-CID87-ID15IgQe.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:45,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,"Poznań, Jeżyce",2 400 zł,2400.0,https://www.olx.pl/d/oferta/2-pokoje-od-zaraz-pets-friendly-bez-posrednikow-CID3-ID15Igy3.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:40,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,"Warszawa, Praga-Południe",49 zł,49.0,https://www.olx.pl/d/oferta/h-m-sukienka-w-panterke-rozm-42-CID87-ID15IgDi.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:42,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Łopiennik Górny,1 800 złdo negocjacji,1800.0,https://www.olx.pl/d/oferta/aparat-sluchowy-otikon-CID3647-ID15IgI5.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:43,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Blachownia,20 zł,20.0,https://www.olx.pl/d/oferta/pir-motion-sensor-orno-CID99-ID15IgCX.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:42,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,"Gdańsk, Wrzeszcz",Za darmo,0.0,https://www.olx.pl/d/oferta/kuchnia-meble-agd-CID628-ID15IgPN.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:45,other,0.0,0,dom 100m2,2025-05-07 15:53:22
