title,location,price,price_value,url,date_posted,category,square_meters,price_per_sqm,search_phrase,scraped_date
No Title,"Warszawa, Praga-Północ",3 400 zł,3400.0,https://www.olx.pl/d/oferta/wynajme-bezposrednio-3-pokojowe-mieszkanie-kotsisa-kozminski-nowe-CID3-ID15Fso5.html,Odświeżono dnia 06 maja 2025,other,0.0,0,mieszkanie warszawa,2025-05-07 15:52:27
No Title,"Warszawa, Włochy",6 700 zł,6700.0,https://www.olx.pl/d/oferta/nowe-mieszkanie-80m2-aleja-krakowska-289-CID3-ID15CRX2.html,30 kwietnia 2025,other,0.0,0,mieszkanie warszawa,2025-05-07 15:52:27
No Title,"Warszawa, Bemowo",2 750 zł,2750.0,https://www.olx.pl/d/oferta/mieszkanie-wynajem-warszawa-dzielnica-bemowo-ul-rayskiego-2-pokoje-CID3-ID1530sh.html,23 kwietnia 2025,other,0.0,0,mieszkanie warszawa,2025-05-07 15:52:27
No Title,"Warszawa, Targówek",2 300 zł,2300.0,https://www.otodom.pl/pl/oferta/mieszkanie-na-targowku-przy-smolenskiej-metro-garaz-winda-ID4vgoh.html,Dzisiaj o 11:08,other,0.0,0,mieszkanie warszawa,2025-05-07 15:52:27
No Title,No Location,0 zł,0.0,https://www.olx.pl/oferta/praca/osoba-do-wynajmowania-mieszkan-rynek-nieruchomosci-praca-dodatkowa-CID4-ID15szXB.html,No Date,other,0.0,0,mieszkanie warszawa,2025-05-07 15:52:27
No Title,"Warszawa, Śródmieście",10 zł za godzinę,10.0,https://www.olx.pl/d/oferta/posprzatam-mieszkanie-CID4371-ID15HTTt.html,Dzisiaj o 00:46,other,0.0,0,mieszkanie warszawa,2025-05-07 15:52:27
No Title,"Warszawa, Bemowo",2 600 zł,2600.0,https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-przy-batalionow-chlopskich-ID4vaK6.html,Dzisiaj o 11:20,other,0.0,0,mieszkanie warszawa,2025-05-07 15:52:27
No Title,"Warszawa, Bielany",2 500 złdo negocjacji,2500.0,https://www.olx.pl/d/oferta/wynajme-mieszkanie-warszawa-bielany-CID3-ID15HLQb.html,06 maja 2025,other,0.0,0,mieszkanie warszawa,2025-05-07 15:52:27
No Title,"Warszawa, Praga-Południe",2 500 zł,2500.0,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-33-mk-goclaw-obok-gh-promenada-ID4vgqz.html,Dzisiaj o 12:20,other,0.0,0,mieszkanie warszawa,2025-05-07 15:52:27
No Title,"Warszawa, Ochota",1 520 000 zł,1520000.0,https://www.otodom.pl/pl/oferta/-ID4vfRs.html,06 maja 2025,other,0.0,0,mieszkanie warszawa,2025-05-07 15:52:27
No Title,"Warszawa, Bemowo",4 500 zł,4500.0,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-w-kamienicy-z-garazem-idealne-dla-rodziny-ID4vghh.html,Dzisiaj o 00:48,other,0.0,0,mieszkanie warszawa,2025-05-07 15:52:27
No Title,"Warszawa, Ursus",2 200 zł,2200.0,https://www.otodom.pl/pl/oferta/za-calosc-2950-zl-z-loggia-ID4vfPM.html,06 maja 2025,other,0.0,0,mieszkanie warszawa,2025-05-07 15:52:27
No Title,"Warszawa, Ochota",2 200 zł,2200.0,https://www.otodom.pl/pl/oferta/mieszkanie-obok-parku-szczesliwickiego-przy-grojeckiej-ID4v5If.html,24 kwietnia 2025,other,0.0,0,mieszkanie warszawa,2025-05-07 15:52:27
No Title,"Warszawa, Ursus",529 000 zł,529000.0,https://www.otodom.pl/pl/oferta/mieszkanie-po-remoncie-ID4uNQD.html,10 kwietnia 2025,other,0.0,0,mieszkanie warszawa,2025-05-07 15:52:27
No Title,"Warszawa, Białołęka",3 000 zł,3000.0,https://www.olx.pl/d/oferta/zoliborz-do-wynajecia-2-pokojowe-mieszkanie-100m-od-pl-wilsona-CID3-ID14gulT.html,Odświeżono dnia 05 maja 2025,other,0.0,0,mieszkanie warszawa,2025-05-07 15:52:27
